user_id,username,location,description,preferred_categories,preferred_game_types
"usr_001","cardmaster","Warszawa","Turnieje Magic: The Gathering, budowa talii Modern i Legacy.","tournament,card_games","Magic: The Gathering"
"usr_002","pokefan","Krakow","Kolekcjonowanie kart Pokémon, granie w ligach lokalnych, wymiany kart.","card_games,league","Pokemon TCG"
"usr_003","casualplayer","Gdansk","Lubi luźne, towarzyskie gry przy kawie, bez spiny turniejowej.","casual_play,card_games","Pokemon TCG,Magic: The Gathering"
"usr_004","commander_king","Poznan","Format Commander (EDH), gry multiplayer, długie wieczorne sesje.","casual_play,tournament","Magic: The Gathering"
"usr_005","junior_trainer","Warszawa","Młodszy gracz Pokémon, preferuje krótkie turnieje i proste zasady.","tournament,league","Pokemon TCG"
"usr_006","draft_addict","Wroclaw","Najbardziej lubi drafty i sealed, testowanie nowych dodatków.","tournament,card_games","Magic: The Gathering"
"usr_007","league_grinder","Lodz","Regularna gra ligowa, zdobywanie punktów rankingowych.","league,tournament","Magic: The Gathering,Pokemon TCG"
"usr_008","art_sleeves","Krakow","Zbieranie limitowanych koszulek i akcesoriów, casualowe granie.","card_games,casual_play","Pokemon TCG,Disney Lorcana"
"usr_009","newbie123","Warszawa","Początkujący gracz TCG, szuka warsztatów i prostych formatów.","workshop,casual_play","Pokemon TCG"
"usr_010","mtg_standard_fan","Sopot","Gra głównie w Standard, śledzi metagame i nowe zestawy kart.","tournament,league","Magic: The Gathering"
"usr_011","family_gamer","Katowice","Rodzinne granie z dziećmi, proste talie, krótkie sesje.","casual_play,event","Pokemon TCG,Disney Lorcana"
"usr_012","collector_only","Lublin","Kolekcjoner rzadkich kart, rzadko gra, częściej wymienia i kupuje.","card_games","Pokemon TCG,Magic: The Gathering,Yu-Gi-Oh"
"usr_013","yu_hero","Warszawa","Gra różne gry karciane: Pokémon, MTG, Yu-Gi-Oh!, lubi free play day.","casual_play,card_games,event","Other,Yu-Gi-Oh"
"usr_014","late_night_player","Szczecin","Preferuje późnowieczorne eventy i ligę po pracy.","league,casual_play","Pokemon TCG,Magic: The Gathering"
"usr_015","workshop_lover","Gdansk","Uwielbia warsztaty i naukę nowych formatów oraz zasad.","workshop,card_games","Pokemon TCG,Disney Lorcana"
"usr_016","competitive_pro","Warszawa","Gracz nastawiony na wyniki, jeździ na turnieje o wysoką rangę.","tournament,league","Magic: The Gathering,Pokemon TCG"
"usr_017","local_champion","Poznan","Stale wygrywa lokalne turnieje, zna większość stałych bywalców sklepu.","tournament,card_games","Magic: The Gathering"
"usr_018","social_gamer","Krakow","Bardziej social niż competitive, ważna jest atmosfera i ludzie.","casual_play,event","Disney Lorcana,Pokemon TCG"
"usr_019","deckbuilder","Wroclaw","Lubi głównie budować talie i testować je na luźnych spotkaniach.","card_games,casual_play","Magic: The Gathering"
"usr_020","one_piece_fan","Warszawa","Fan One Piece TCG, szuka eventów i turniejów tej gry.","tournament,league","One Piece"
"usr_021","yugioh_duelist","Krakow","Gracz Yu-Gi-Oh! od lat, competitive i casual.","tournament,casual_play","Yu-Gi-Oh"
"usr_022","lorcana_lover","Gdansk","Zakochany w Disney Lorcana, kolekcjonuje i gra.","card_games,casual_play,event","Disney Lorcana"
